State,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Delhi,DELHI_TOTAL,Arhar/Tur,2003,Kharif     ,134,189,1.41
Delhi,DELHI_TOTAL,Arhar/Tur,2004,Kharif     ,119,170,1.43
Delhi,DELHI_TOTAL,Arhar/Tur,2005,Kharif     ,151,227,1.5
Delhi,DELHI_TOTAL,Arhar/Tur,2006,Kharif     ,385,578,1.5
Delhi,DELHI_TOTAL,Bajra,1998,Kharif     ,2595,2091,0.81
Delhi,DELHI_TOTAL,Bajra,1999,Kharif     ,2719,3749,1.38
Delhi,DELHI_TOTAL,Bajra,2000,Kharif     ,3119,4634,1.49
Delhi,DELHI_TOTAL,Bajra,2001,Kharif     ,2632,5140,1.95
Delhi,DELHI_TOTAL,Bajra,2002,Kharif     ,1552,2804,1.81
Delhi,DELHI_TOTAL,Bajra,2003,Kharif     ,2334,3762,1.61
Delhi,DELHI_TOTAL,Bajra,2004,Kharif     ,1708,3117,1.82
Delhi,DELHI_TOTAL,Bajra,2005,Kharif     ,1690,3031,1.79
Delhi,DELHI_TOTAL,Bajra,2006,Kharif     ,1592,2945,1.85
Delhi,DELHI_TOTAL,Bajra,2007,Kharif     ,1586,3013,1.9
Delhi,DELHI_TOTAL,Bajra,2008,Kharif     ,1549,2943,1.9
Delhi,DELHI_TOTAL,Bajra,2009,Kharif     ,1586,2979,1.88
Delhi,DELHI_TOTAL,Bajra,2010,Kharif     ,1531,2876,1.88
Delhi,DELHI_TOTAL,Bajra,2011,Kharif     ,1439,2689,1.87
Delhi,DELHI_TOTAL,Bajra,2012,Kharif     ,1519,3815,2.51
Delhi,DELHI_TOTAL,Bajra,2013,Kharif     ,1519,3815,2.51
Delhi,DELHI_TOTAL,Bajra,2014,Kharif     ,1520,3817,2.51
Delhi,DELHI_TOTAL,Bajra,2015,Kharif     ,1482,3256,2.2
Delhi,DELHI_TOTAL,Bajra,2016,Kharif     ,1487,3278,2.2
Delhi,DELHI_TOTAL,Bajra,2017,Kharif     ,1502,3256,2.17
Delhi,DELHI_TOTAL,Bajra,2018,Kharif     ,1478,3249,2.2
Delhi,DELHI_TOTAL,Bajra,2019,Kharif     ,1475,4873,3.3
Delhi,DELHI_TOTAL,Barley,1998,Kharif     ,305,83,0.27
Delhi,DELHI_TOTAL,Barley,1999,Kharif     ,261,98,0.38
Delhi,DELHI_TOTAL,Barley,2000,Kharif     ,235,75,0.32
Delhi,DELHI_TOTAL,Barley,2001,Kharif     ,122,60,0.49
Delhi,DELHI_TOTAL,Barley,2002,Kharif     ,85,41,0.48
Delhi,DELHI_TOTAL,Barley,2003,Kharif     ,86,255,2.97
Delhi,DELHI_TOTAL,Barley,2004,Kharif     ,71,191,2.69
Delhi,DELHI_TOTAL,Barley,2005,Kharif     ,70,183,2.61
Delhi,DELHI_TOTAL,Barley,2006,Kharif     ,75,196,2.61
Delhi,DELHI_TOTAL,Barley,2007,Kharif     ,75,196,2.61
Delhi,DELHI_TOTAL,Barley,2008,Kharif     ,72,202,2.81
Delhi,DELHI_TOTAL,Barley,2009,Kharif     ,76,214,2.82
Delhi,DELHI_TOTAL,Barley,2010,Kharif     ,70,197,2.81
Delhi,DELHI_TOTAL,Barley,2011,Kharif     ,66,195,2.95
Delhi,DELHI_TOTAL,Barley,2012,Kharif     ,65,183,2.82
Delhi,DELHI_TOTAL,Barley,2013,Kharif     ,65,183,2.82
Delhi,DELHI_TOTAL,Barley,2014,Kharif     ,64,186,2.91
Delhi,DELHI_TOTAL,Barley,2015,Kharif     ,62,181,2.92
Delhi,DELHI_TOTAL,Barley,2016,Kharif     ,68,184,2.71
Delhi,DELHI_TOTAL,Barley,2017,Kharif     ,70,181,2.59
Delhi,DELHI_TOTAL,Barley,2018,Kharif     ,59,172,2.92
Delhi,DELHI_TOTAL,Barley,2019,Kharif     ,60,180,3
Delhi,DELHI_TOTAL,Cotton(lint),1998,Kharif     ,1,1,1
Delhi,DELHI_TOTAL,Cotton(lint),1999,Kharif     ,1,1,1
Delhi,DELHI_TOTAL,Cotton(lint),2000,Kharif     ,1,1,1
Delhi,DELHI_TOTAL,Cotton(lint),2001,Kharif     ,1,1,1
Delhi,DELHI_TOTAL,Cotton(lint),2002,Kharif     ,1,1,1
Delhi,DELHI_TOTAL,Gram,1998,Rabi       ,152,36,0.24
Delhi,DELHI_TOTAL,Gram,1999,Rabi       ,62,13,0.21
Delhi,DELHI_TOTAL,Gram,2000,Rabi       ,50,8,0.16
Delhi,DELHI_TOTAL,Gram,2001,Rabi       ,51,8,0.16
Delhi,DELHI_TOTAL,Gram,2002,Rabi       ,73,16,0.22
Delhi,DELHI_TOTAL,Gram,2003,Rabi       ,42,64,1.52
Delhi,DELHI_TOTAL,Gram,2004,Rabi       ,57,75,1.32
Delhi,DELHI_TOTAL,Gram,2005,Rabi       ,47,67,1.43
Delhi,DELHI_TOTAL,Gram,2006,Rabi       ,45,65,1.44
Delhi,DELHI_TOTAL,Gram,2007,Rabi       ,47,68,1.45
Delhi,DELHI_TOTAL,Gram,2008,Rabi       ,48,70,1.46
Delhi,DELHI_TOTAL,Gram,2009,Rabi       ,76,67,0.88
Delhi,DELHI_TOTAL,Gram,2010,Rabi       ,8,75,9.38
